total_iterations, iterations_per_second, memory_usage
727717, 727716, 26619904
1442433, 714716, 27160576
2143926, 701493, 31768576
2830215, 686289, 31891456
3535040, 704825, 32026624
4212416, 677376, 32157696
4852427, 640011, 32276480
5478242, 625815, 32391168
6058892, 580650, 32501760
6599018, 540126, 32600064
7191030, 592012, 32702464
7833622, 642592, 32817152
8441680, 608058, 32931840
8940108, 498428, 41385984
9471493, 531385, 41435136
10064787, 593294, 41496576
10659073, 594286, 41553920
11303050, 643977, 41623552
11932197, 629147, 41676800
12556105, 623908, 41730048
13157115, 601010, 41783296
13792403, 635288, 41844736
14415371, 622968, 41906176
15061504, 646133, 41959424
15704551, 643047, 42016768
16345354, 640803, 42082304
17009844, 664490, 42147840
17673549, 663705, 42209280
18318317, 644768, 42266624
18972279, 653962, 42323968
19620419, 648140, 42389504
20237264, 616845, 42442752
20789919, 552655, 42496000
21436249, 646330, 42561536
22075233, 638984, 42618880
22689787, 614554, 42672128
23291607, 601820, 42725376
23845172, 553565, 42774528
24466745, 621573, 42827776
25012765, 546020, 42876928
25657804, 645039, 42934272
26286515, 628711, 42991616
26854864, 568349, 43044864
27449388, 594524, 43106304
28030806, 581418, 43159552
28579241, 548435, 43212800
29200251, 621010, 43266048
29821571, 621320, 43323392
30436077, 614506, 43376640
31023350, 587273, 43429888
31633581, 610231, 43491328
32219426, 585845, 43544576
32829786, 610360, 43610112
33461566, 631780, 43675648
34103362, 641796, 43728896
34768060, 664698, 43802624
35440672, 672612, 43864064
36106413, 665741, 43929600
36724744, 618331, 43986944
37378914, 654170, 60821504
38021197, 642283, 60854272
38595842, 574645, 60874752
39267356, 671514, 60903424
39901409, 634053, 60932096
40530395, 628986, 60964864
41203492, 673097, 61001728
41754682, 551190, 61034496
42325543, 570861, 61059072
42915869, 590326, 61087744
43481284, 565415, 61112320
44090998, 609714, 61145088
44676322, 585324, 61165568
45231169, 554847, 61194240
45818911, 587742, 61218816
46432598, 613687, 61243392
47064493, 631895, 61280256
47696625, 632132, 61317120
48289563, 592938, 61345792
48872176, 582613, 61370368
49406325, 534149, 61399040
49962672, 556347, 61423616
50445885, 483213, 61452288
51062470, 616585, 61476864
51601067, 538597, 61501440
52129307, 528240, 61526016
52699820, 570513, 61558784
53227071, 527251, 61579264
53733265, 506194, 61603840
54304507, 571242, 61628416
54886786, 582279, 61657088
55507407, 620621, 61685760
56109475, 602068, 61710336
56752803, 643328, 61743104
57375561, 622758, 61779968
58042712, 667151, 61812736
58710729, 668017, 61841408
59386938, 676209, 61870080
60042312, 655374, 61902848
60716247, 673935, 61931520
61382958, 666711, 61964288
62047900, 664942, 61997056
62668744, 620844, 62025728
63373200, 704456, 62058496
64074210, 701010, 62091264
64755485, 681275, 62124032
65460808, 705323, 62152704
66172110, 711302, 62189568
66874543, 702433, 62218240
67576628, 702085, 62251008
68284219, 707591, 62291968
68984230, 700011, 62332928
69693797, 709567, 62361600
70400347, 706550, 62398464
71103814, 703467, 62427136
71814004, 710190, 62459904
72519569, 705565, 62492672
73228424, 708855, 62529536
73927919, 699495, 62558208
74638215, 710296, 62595072
75341133, 702918, 62623744
76048284, 707151, 62656512
76751516, 703232, 62693376
77457375, 705859, 62730240
78158056, 700681, 62763008
78864623, 706567, 62791680
79569847, 705224, 62824448
80277912, 708065, 62857216
80981985, 704073, 62894080
81682046, 700061, 62926848
82381566, 699520, 62951424
83084752, 703186, 62988288
83783365, 698613, 63025152
84490084, 706719, 63057920
85193650, 703566, 63086592
85903701, 710051, 63123456
86614698, 710997, 63156224
87322491, 707793, 63188992
88031810, 709319, 63221760
88738608, 706798, 63254528
89444801, 706193, 63287296
90150923, 706122, 63320064
90854075, 703152, 63356928
91561667, 707592, 63385600
92268688, 707021, 63422464
92972691, 704003, 63455232
93678896, 706205, 63492096
94382292, 703396, 63520768
95082440, 700148, 63553536
95782478, 700038, 63586304
96489456, 706978, 63619072
97194545, 705089, 63655936
97899369, 704824, 63684608
98605074, 705705, 63717376
99311136, 706062, 63750144
100019128, 707992, 63787008
100727290, 708162, 63815680
101437114, 709824, 63848448
102143698, 706584, 63877120
102852326, 708628, 63913984
103559737, 707411, 63946752
104262284, 702547, 63979520
104966694, 704410, 64012288
105675372, 708678, 64045056
106383080, 707708, 64081920
107091939, 708859, 64110592
107799331, 707392, 64143360
108506439, 707108, 64176128
109214331, 707892, 64204800
109921377, 707046, 64237568
110625233, 703856, 64286720
111334258, 709025, 64319488
112044805, 710547, 64348160
112749598, 704793, 64380928
113459401, 709803, 64413696
114164364, 704963, 64450560
114872930, 708566, 64479232
115579395, 706465, 64512000
116286718, 707323, 64552960
116993919, 707201, 64585728
117700469, 706550, 64630784
118401833, 701364, 64655360
119112513, 710680, 64696320
119820341, 707828, 64724992
120527555, 707214, 64753664
121236854, 709299, 64794624
121944431, 707577, 64827392
122650401, 705970, 64868352
123362693, 712292, 64897024
124068594, 705901, 64933888
124779287, 710693, 64966656
125476046, 696759, 64999424
126180907, 704861, 65028096
126887556, 706649, 65060864
127596704, 709148, 65093632
128299601, 702897, 65134592
129011558, 711957, 65167360
129719111, 707553, 65200128
130428630, 709519, 65228800
131132004, 703374, 65261568
131844082, 712078, 65298432
132546091, 702009, 65331200
133253616, 707525, 65363968
133949970, 696354, 65396736
134621608, 671638, 65429504
135187632, 566024, 65454080
135834581, 646949, 65482752
136447321, 612740, 65511424
137004328, 557007, 65536000
137673662, 669334, 65564672
138381875, 708213, 65597440
139086410, 704535, 65630208
139796809, 710399, 65667072
140502578, 705769, 65703936
141196034, 693456, 65748992
141902358, 706324, 65781760
142606882, 704524, 65810432
143268651, 661769, 65843200
143937291, 668640, 65875968
144600241, 662950, 65904640
145265309, 665068, 65949696
145925771, 660462, 65978368
146569244, 643473, 66002944
147248954, 679710, 66035712
147926772, 677818, 66064384
148596553, 669781, 66093056
149262378, 665825, 66125824
149920895, 658517, 66158592
150587613, 666718, 66191360
151244816, 657203, 66220032
151913408, 668592, 66248704
152574403, 660995, 66285568
153245108, 670705, 66310144
153901539, 656431, 66347008
154566291, 664752, 66375680
155231184, 664893, 66408448
155891410, 660226, 66441216
156551960, 660550, 66469888
157208329, 656369, 66498560
157881756, 673427, 66531328
158554713, 672957, 66560000
159221413, 666700, 66592768
159890747, 669334, 66625536
160551528, 660781, 66654208
161208104, 656576, 66686976
161874252, 666148, 66719744
162546166, 671914, 66756608
163207899, 661733, 66785280
163870386, 662487, 66818048
164522539, 652153, 66850816
165188103, 665564, 66883584
165844897, 656794, 66912256
166515375, 670478, 66949120
167185029, 669654, 66973696
167858277, 673248, 67010560
168527477, 669200, 67047424
169201877, 674400, 67076096
169862519, 660642, 67100672
170529306, 666787, 67133440
171179898, 650592, 67166208
171843685, 663787, 67194880
172505521, 661836, 67227648
173170083, 664562, 67264512
173833687, 663604, 67293184
174475771, 642084, 67321856
175143714, 667943, 67354624
175813790, 670076, 67379200
176476041, 662251, 67411968
177132991, 656950, 67440640
177789191, 656200, 67473408
178449390, 660199, 67506176
179103964, 654574, 67534848
179759337, 655373, 67563520
180420855, 661518, 67600384
