total_iterations, iterations_per_second, memory_usage
623564, 623563, 27488256
1267354, 643790, 27734016
1906870, 639516, 28221440
2550278, 643408, 28438528
3193141, 642863, 28659712
3834222, 641081, 28864512
4470353, 636131, 33247232
5095153, 624800, 33333248
5710406, 615253, 33415168
6326771, 616365, 33497088
6942085, 615314, 33579008
7565540, 623455, 33673216
8188940, 623400, 33759232
8812990, 624050, 33849344
9431011, 618021, 33935360
10051871, 620860, 34021376
10671399, 619528, 34107392
11298079, 626680, 34189312
11917873, 619794, 34275328
12544225, 626352, 34353152
13162161, 617936, 34443264
13787353, 625192, 34529280
14403351, 615998, 34603008
15029245, 625894, 34693120
15650500, 621255, 34779136
16271280, 620780, 34861056
16889741, 618461, 34942976
17513710, 623969, 35037184
18135801, 622091, 35119104
18757197, 621396, 35205120
19374102, 616905, 35291136
19994926, 620824, 35373056
20616070, 621144, 35459072
21243863, 627793, 35545088
21864293, 620430, 35627008
22488304, 624011, 35721216
23107566, 619262, 35807232
23728456, 620890, 35893248
24348785, 620329, 35983360
24973930, 625145, 36069376
25589639, 615709, 44548096
26203873, 614234, 44597248
26817732, 613859, 44650496
27431533, 613801, 44695552
28042580, 611047, 44761088
28654399, 611819, 44814336
29263522, 609123, 44863488
29876237, 612715, 44912640
30479888, 603651, 44965888
31093640, 613752, 45015040
31702763, 609123, 45064192
32316129, 613366, 45121536
32925282, 609153, 45174784
33538494, 613212, 45228032
34152768, 614274, 45277184
34767464, 614696, 45330432
35378743, 611279, 45387776
35991533, 612790, 45432832
36596812, 605279, 45486080
37208621, 611809, 45535232
37821589, 612968, 45588480
38439187, 617598, 45637632
39051850, 612663, 45694976
39665117, 613267, 45740032
40275139, 610022, 45793280
40889753, 614614, 45850624
41498989, 609236, 45895680
42111662, 612673, 45944832
42721652, 609990, 45998080
43338134, 616482, 46055424
43949320, 611186, 46108672
44564039, 614719, 46161920
45174845, 610806, 46211072
45788608, 613763, 46264320
46402529, 613921, 46313472
47014403, 611874, 46370816
47622051, 607648, 46419968
48232772, 610721, 46465024
48842997, 610225, 46518272
49455948, 612951, 46575616
50064589, 608641, 46632960
50672799, 608210, 46682112
51284267, 611468, 46735360
51896687, 612420, 46780416
52505337, 608650, 46829568
53115829, 610492, 46878720
53722653, 606824, 46936064
54334209, 611556, 46985216
54945179, 610970, 47038464
55558074, 612895, 47087616
56167057, 608983, 47144960
56783052, 615995, 47194112
57393332, 610280, 47247360
58007409, 614077, 47304704
58611535, 604126, 47353856
59224059, 612524, 47403008
59839202, 615143, 47452160
60446056, 606854, 47509504
61058432, 612376, 47558656
61669816, 611384, 47607808
62284888, 615072, 47656960
62893603, 608715, 47706112
63507432, 613829, 47755264
64110689, 603257, 47808512
64698004, 587315, 47853568
65292104, 594100, 47902720
65895630, 603526, 47960064
66501554, 605924, 48009216
67096374, 594820, 48054272
67611286, 514912, 48095232
68054409, 442680.31968031975, 48144384
68589189, 534780, 48185344
69186676, 597487, 48246784
69787023, 600347, 48300032
70296180, 509157, 48340992
70713566, 417386, 48373760
71300448, 586882, 48435200
71882483, 582035, 48484352
72481795, 599312, 48533504
73046440, 564645, 48586752
73645754, 599314, 48635904
74240776, 595022, 48680960
74804647, 563871, 48726016
75380015, 575368, 48779264
75974065, 594050, 48828416
76568889, 594824, 48873472
77161746, 592857, 48926720
77751182, 589436, 48979968
78358315, 607133, 49029120
78959370, 601055, 49078272
79526883, 567513, 49123328
80123520, 596637, 49168384
80723990, 600470, 49225728
81308990, 585000, 49274880
81906038, 597048, 49332224
82505226, 599188, 49381376
83090373, 585147, 49430528
83684117, 593744, 49483776
84283273, 599156, 49541120
84884971, 601698, 49590272
85485874, 600903, 49639424
86085162, 599288, 49692672
86681735, 596573, 49750016
87275158, 593423, 49799168
87847570, 572412, 49848320
88442450, 594880, 49889280
89044799, 602349, 49946624
89611891, 567092, 49987584
90193164, 581273, 50032640
90760830, 567666, 50085888
91357181, 596351, 50135040
91955965, 598784, 50184192
92549827, 593862, 50233344
93157638, 607811, 50282496
93627298, 469660, 50323456
94121800, 494502, 50364416
94719518, 597718, 50417664
95328226, 608708, 50475008
95934413, 606187, 50532352
96544127, 609714, 50585600
97151051, 606924, 50638848
97761618, 610567, 50692096
98371036, 609418, 50741248
98983802, 612766, 50790400
99579135, 595333, 67612672
100170159, 591024, 67641344
100764121, 593962, 67670016
101364637, 599916.083916084, 67698688
101960535, 595898, 67719168
102558208, 597673, 67743744
103153001, 594793, 67772416
103750884, 597883, 67796992
104343934, 593050, 67825664
104941632, 597698, 67854336
105531549, 589917, 67874816
106129514, 597965, 67903488
