event_type, timestamp, total_iterations, iterations_per_second, resident_set_size, percent_heap_used, percent_new_space_used, percent_old_space_used
MARK_SWEEP, 563
PROFILE, 1000, 518684, 518684, 81649664, 53.756323106573134, 41.950035095214844, 71.28348434114635
PROFILE, 2000, 1010327, 491643, 81653760, 53.64598169776386, 41.69466495513916, 71.36257878668505
PROFILE, 3000, 1451289, 440962, 81661952, 47.913694741667854, 31.832194328308105, 71.37942867342919
PROFILE, 4000, 1878338, 427049, 81678336, 45.681440611202106, 28.00314426422119, 71.38262168849714
PROFILE, 5000, 2337016, 458678, 81678336, 43.27615646364478, 23.877525329589844, 71.38696880539689
PROFILE, 6000, 2773833, 436817, 81678336, 30.022557884382568, 1.157546043395996, 71.38993100009849
PROFILE, 7000, 3250983, 477150, 81678336, 32.33459498735935, 5.118799209594727, 71.39289319480008
PROFILE, 8000, 3720435, 469452, 81678336, 49.41171185105398, 34.38832759857178, 71.39700949133346
PROFILE, 9000, 4196077, 475642, 81678336, 48.99678753916821, 33.675265312194824, 71.39997168603506
PROFILE, 10000, 4659094, 463017, 81678336, 54.43642565606751, 42.99757480621338, 71.40293388073665
PROFILE, 11000, 5132217, 473123, 81678336, 49.468822884026494, 34.47999954223633, 71.40705017727004
PROFILE, 12000, 5600320, 468103, 81678336, 35.42201242255377, 10.40036678314209, 71.41001237197163
PROFILE, 13000, 6071632, 471312, 81678336, 55.86136401064663, 45.433855056762695, 71.41297456667324
PROFILE, 14004, 6532847, 459377.49003984063, 81678336, 29.360565068188293, 0.005984306335449219, 71.41709086320662
PROFILE, 15004, 7004984, 472137, 81678336, 51.292620464499365, 37.59808540344238, 71.42012999803033
PROFILE, 16004, 7472180, 467196, 81678336, 35.605752496973366, 10.7072114944458, 71.42309219273193
PROFILE, 17004, 7935375, 463195, 81678336, 41.36855616187153, 20.58277130126953, 71.42717001920425
PROFILE, 18004, 8405134, 469759, 81678336, 30.31555445271329, 1.6348600387573242, 71.43013221390585
PROFILE, 19004, 8874382, 469248, 81678336, 47.02245106199259, 30.27050495147705, 71.43309440860745
PROFILE, 20004, 9344100, 469718, 81678336, 35.89663487216921, 11.197066307067871, 71.43721070514083
PROFILE, 21004, 9812916, 468816, 81678336, 51.822462300598204, 38.49387168884277, 71.44017289984242
PROFILE, 22004, 10280682, 467766, 81678336, 37.165484573066514, 13.3683443069458, 71.44313509454402
PROFILE, 23004, 10754300, 473618, 81678336, 33.09197685959977, 6.383371353149414, 71.44721292101634
PROFILE, 24004, 11233290, 478990, 81678336, 38.73122540859564, 16.04783535003662, 71.45017511571794
PROFILE, 25004, 11695772, 462482, 81678336, 43.20339761964107, 23.711800575256348, 71.45313731041954
PROFILE, 26004, 12168607, 472835, 81678336, 37.71496615065518, 14.301466941833496, 71.45725360695292
PROFILE, 27004, 12635382, 466775, 81678336, 49.95094237377155, 35.27345657348633, 71.46021580165453
PROFILE, 28004, 13103929, 468547, 81682432, 36.70709411942743, 12.5701904296875, 71.46317799635612
PROFILE, 29006, 13575747, 470876.24750499, 81682432, 29.37878607481128, 0.005984306335449219, 71.4674866431948
PROFILE, 30006, 14044800, 469053, 81682432, 45.73404507459763, 28.038883209228516, 71.4704488378964
PROFILE, 31006, 14510371, 465571, 81682432, 55.7918320930067, 45.27723789215088, 71.47337256253692
PROFILE, 32006, 14977682, 467311, 81686528, 40.31358769673123, 18.743276596069336, 71.47745038900925
PROFILE, 33006, 15449073, 471391, 81686528, 32.21262551630822, 4.8553466796875, 71.48064340407721
PROFILE, 34006, 15921557, 472484, 81690624, 54.77120535714286, 43.52145195007324, 71.48356712871775
PROFILE, 35006, 16393888, 472331, 81690624, 48.37148710119641, 32.54892826080322, 71.48791424561749
PROFILE, 36006, 16863094, 469206, 81690624, 36.319264861665005, 11.8882417678833, 71.49087644031908
PROFILE, 37006, 17323030, 459936, 81694720, 36.18747551986897, 11.660528182983398, 71.49380016495962
PROFILE, 38006, 17781838, 458808, 81698816, 34.018132544331294, 7.939338684082031, 71.49814728185937
PROFILE, 39006, 18258065, 476227, 81698816, 34.66119498646916, 9.039640426635742, 71.50134029692732
PROFILE, 40006, 18734711, 476646, 81707008, 36.06193139332004, 11.438822746276855, 71.50430249162892
PROFILE, 41006, 19211806, 477095, 81707008, 38.27600624465888, 15.23129940032959, 71.50864960852866
