event_type, timestamp, total_iterations, iterations_per_second, resident_set_size, percent_heap_used, percent_new_space_used, percent_old_space_used
PROFILE, 1000, 599291, 599291, 26710016, 48.96845261697066, 13.214492797851562, 85.66479520808909
PROFILE, 2000, 1201971, 602680, 27136000, 61.04400058962264, 44.04735565185547, 81.25856109836901
PROFILE, 3000, 1799118, 597147, 27238400, 55.78206073113208, 30.14240264892578, 81.33959288990825
PROFILE, 4000, 2403455, 604337, 27402240, 51.86151238207547, 19.979095458984375, 81.35153860856269
PROFILE, 5000, 3010548, 607093, 27484160, 46.931603773584904, 7.203865051269531, 81.36945718654435
PROFILE, 6000, 3610988, 600440, 27582464, 47.71403301886792, 9.217262268066406, 81.38140290519877
PROFILE, 7000, 4199818, 588830, 31838208, 31.86182677259118, 0.02193450927734375, 81.39334862385321
PROFILE, 8000, 4782582, 582764, 31879168, 52.56037995032662, 37.145423889160156, 81.41126720183486
PROFILE, 9000, 5376119, 593537, 31928320, 40.46429513132826, 15.439987182617188, 81.42321292048929
PROFILE, 10000, 5970306, 594187, 31973376, 34.659463034158954, 5.020713806152344, 81.43515863914374
PROFILE, 11000, 6574747, 604441, 32018432, 45.8593643678552, 25.104141235351562, 81.45307721712538
PROFILE, 12000, 7173224, 598477, 32067584, 54.15467006328253, 39.97983932495117, 81.46482384046891
PROFILE, 13000, 7780750, 607526, 32116736, 40.386627313554705, 15.275001525878906, 81.47676955912334
PROFILE, 14000, 8374130, 593380, 32157696, 54.17907083560153, 40.009307861328125, 81.494688137105
PROFILE, 15000, 8921166, 547036, 32206848, 58.03609400517148, 46.922969818115234, 81.50643476044851
PROFILE, 16000, 9521182, 600016, 32256000, 53.81773739452912, 39.34974670410156, 81.51838047910296
PROFILE, 17000, 10122497, 601315, 32301056, 34.766369250136094, 5.164051055908203, 81.5362990570846
PROFILE, 18000, 10530559, 408062, 32329728, 36.78945376292869, 8.787727355957031, 81.54804568042813
PROFILE, 19025, 10561207, 29900.487804878052, 32333824, 31.90355794093631, 0.01697540283203125, 81.55999139908256
PROFILE, 20025, 11140045, 578838, 32378880, 42.01504661132281, 18.147659301757812, 81.57830816768603
PROFILE, 21025, 11733881, 593836, 32423936, 32.81420114316821, 1.6361236572265625, 81.59025388634046
PROFILE, 22095, 12104821, 346672.8971962617, 32452608, 31.914828014425694, 0.01697540283203125, 81.60219960499491
PROFILE, 23095, 12664018, 559197, 32489472, 43.820756923652695, 21.367549896240234, 81.61892361111111
PROFILE, 24095, 13216682, 552664, 32530432, 47.32208168889493, 27.64301300048828, 81.63086932976555
PROFILE, 25095, 13799353, 582671, 32575488, 39.71021026129559, 13.982009887695312, 81.64281504841998
PROFILE, 26095, 14391135, 591782, 32620544, 38.040963527490476, 10.978889465332031, 81.66073362640162
PROFILE, 27095, 14993788, 602653, 32665600, 31.936411268372346, 0.02193450927734375, 81.67267934505607
PROFILE, 28095, 15588610, 594822, 32714752, 32.270632740201414, 0.6165504455566406, 81.68303230122325
PROFILE, 29095, 16188575, 599965, 32759808, 54.96946448013065, 41.32843017578125, 81.7009508792049
PROFILE, 30095, 16784834, 596259, 32800768, 41.80655025176919, 17.70925521850586, 81.71269750254841
PROFILE, 31095, 17373926, 589092, 32845824, 41.509807090364724, 17.171192169189453, 81.72464322120285
PROFILE, 32095, 17975798, 601872, 32886784, 55.256691871937946, 41.823768615722656, 81.74256179918451
PROFILE, 33095, 18568789, 592991, 32940032, 37.87983337302667, 10.644912719726562, 81.75450751783893
PROFILE, 34095, 19164616, 595827, 32980992, 47.938799248094725, 28.684425354003906, 81.76645323649338
PROFILE, 35095, 19769596, 604980, 33021952, 36.946650023816005, 8.956527709960938, 81.78437181447502
PROFILE, 36095, 20362059, 592463, 33067008, 41.86518653034839, 17.774391174316406, 81.79631753312945
PROFILE, 37095, 20962642, 600583, 33112064, 43.13599363772455, 20.04842758178711, 81.8082632517839
PROFILE, 38095, 21572247, 609605, 33157120, 49.48790274564507, 31.434917449951172, 81.82598273445464
PROFILE, 39095, 22169527, 597280, 33206272, 46.20400534158955, 25.538063049316406, 81.83792845310907
PROFILE, 40095, 22776471, 606944, 33259520, 54.20910664466522, 39.8930549621582, 81.8498741717635
PROFILE, 41095, 23373432, 596961, 33308672, 47.844492123707134, 28.46689224243164, 81.86739455912334
PROFILE, 42095, 23969645, 596213, 33353728, 34.236250510342956, 4.048728942871094, 81.87934027777779
PROFILE, 43095, 24571717, 602072, 33394688, 49.91170003742515, 32.16390609741211, 81.89128599643222
PROFILE, 44095, 25165932, 594215, 41832448, 46.05098059026564, 35.64019203186035, 81.90920457441386
PROFILE, 45095, 25705665, 539733, 41852928, 20.550035772020273, 0.013208389282226562, 81.92115029306831
PROFILE, 46095, 26273777, 568112, 41869312, 30.57941115431667, 14.021110534667969, 81.93309601172272
PROFILE, 47095, 26862484, 588707, 41893888, 27.784961005767215, 10.113048553466797, 81.95101458970439
PROFILE, 48095, 27463866, 601382, 41918464, 33.34283385398462, 17.8743839263916, 81.96296030835882
PROFILE, 49095, 28067058, 603192, 41943040, 50.14380488684027, 41.34206771850586, 81.97470693170234
PROFILE, 50095, 28661995, 594937, 41963520, 50.855080992223, 42.3314094543457, 81.99262550968399
PROFILE, 51095, 29256456, 594461, 41988096, 48.60813390204474, 39.189720153808594, 82.00417303771663
PROFILE, 52095, 29843361, 586905, 42008576, 34.61308190973436, 19.636154174804688, 82.01611875637104
PROFILE, 53095, 30427887, 584526, 42029056, 41.03839211595596, 28.607845306396484, 82.0340373343527
PROFILE, 54095, 30966177, 538290, 42057728, 41.769124377403, 29.625844955444336, 82.04578395769623
PROFILE, 55095, 31515683, 549506, 42074112, 41.789775209716886, 29.651880264282227, 82.05753058103976
PROFILE, 56095, 32054147, 538464, 42098688, 43.605034570517304, 32.18345642089844, 82.0754491590214
PROFILE, 57095, 32595353, 541206, 42123264, 27.257016504281715, 9.34290885925293, 82.08719578236493
PROFILE, 58095, 33141796, 546443, 42143744, 43.44327540632646, 31.95185661315918, 82.09894240570847
PROFILE, 59095, 33681953, 540157, 42160128, 20.581984828294303, 0.010967254638671875, 82.11686098369012
PROFILE, 60095, 34233145, 551192, 42184704, 31.078888227455437, 14.671993255615234, 82.12880670234455
PROFILE, 61095, 34775757, 542612, 42205184, 23.464090079954563, 4.031467437744141, 82.14075242099898
PROFILE, 62095, 35316586, 540829, 42225664, 39.96816699799021, 27.08292007446289, 82.15867099898063
PROFILE, 63095, 35862664, 546078, 42242048, 53.88655490868577, 46.52366638183594, 82.17061671763507
PROFILE, 64095, 36410351, 547687, 42270720, 42.60652416113247, 30.762910842895508, 82.1825624362895
PROFILE, 65095, 36960605, 550254, 42291200, 47.279688046137714, 37.286949157714844, 82.20028191896024
PROFILE, 66095, 37508322, 547717, 42311680, 36.18763107305138, 21.788787841796875, 82.21222763761467
PROFILE, 67095, 38049762, 541440, 42332160, 21.291554253320516, 0.9765148162841797, 82.22417335626912
PROFILE, 68095, 38588105, 538343, 42348544, 22.35072008257602, 2.4518489837646484, 82.24209193425077
PROFILE, 69095, 39153822, 565717, 42373120, 52.695292019835726, 44.83952522277832, 82.2540376529052
PROFILE, 70095, 39709194, 555372, 42401792, 53.96499393787138, 46.610450744628906, 82.26578427624872
PROFILE, 71095, 40257098, 547904, 42422272, 44.03832657943027, 32.73887634277344, 82.28370285423038
PROFILE, 72095, 40804092, 546994, 42442752, 28.454457576022367, 10.965776443481445, 82.29564857288482
PROFILE, 73095, 41356673, 552581, 42463232, 47.579210448706746, 37.67967224121094, 82.30759429153925
PROFILE, 74095, 41892441, 535768, 42483712, 32.64087622334848, 16.806936264038086, 82.3255128695209
PROFILE, 75095, 42430653, 538212, 42504192, 32.88517044958056, 17.145395278930664, 82.33725949286442
PROFILE, 76095, 42986249, 555596, 42524672, 35.54612406064313, 20.859813690185547, 82.34920521151886
PROFILE, 77095, 43544679, 558430, 42545152, 20.62489077245718, 0.010967254638671875, 82.36712378950051
PROFILE, 78095, 44129518, 584839, 42565632, 28.990321074362114, 11.694765090942383, 82.37747674566769
PROFILE, 79095, 44723130, 593612, 42590208, 21.4689807431842, 1.1847972869873047, 82.38942246432211
PROFILE, 80095, 45312153, 589023, 42610688, 20.633355907025518, 0.013208389282226562, 82.40714194699287
PROFILE, 81095, 45906158, 594005, 42631168, 50.7477649314051, 42.079734802246094, 82.41749490316003
