event_type, timestamp, total_iterations, iterations_per_second, resident_set_size, percent_heap_used, percent_new_space_used, percent_old_space_used
PROFILE, 166, 57021, 570210, 67764224, 62.53296217256875, 45.86045742034912, 96.18026488878259
PROFILE, 265, 105121, 481000, 89755648, 73.27735676360355, 47.2121000289917, 97.74197202387441
MARK_SWEEP, 323
PROFILE, 365, 150959, 458380, 113246208, 67.81350851797222, 15.635418891906738, 96.74608415360866
PROFILE, 472, 221778, 668103.7735849057, 142782464, 75.1309069752408, 15.039634704589844, 97.99327695862178
PROFILE, 573, 280958, 585940.5940594058, 167333888, 78.86134091539482, 15.10777473449707, 97.98460728829534
PROFILE, 672, 309681, 287230, 177164288, 83.01378305425786, 29.712843894958496, 97.89935329307015
MARK_SWEEP, 713
PROFILE, 777, 355892, 440104.7619047619, 198209536, 82.00782597767397, 16.348791122436523, 97.52627991696231
PROFILE, 877, 415695, 598030, 222896128, 84.49301789319505, 17.82200336456299, 98.05661602644837
PROFILE, 977, 485387, 696920, 247439360, 90.32794108055644, 48.22227954864502, 98.04104440944634
PROFILE, 1077, 546502, 611150, 276893696, 87.60154986873293, 19.738388061523438, 98.12059818043886
PROFILE, 1185, 615861, 642212.9629629629, 306384896, 88.17584176672688, 15.038824081420898, 98.18186248730596
PROFILE, 1286, 643160, 272990, 316215296, 89.63874727597332, 25.535273551940918, 98.13405958677815
PROFILE, 1396, 651350, 74454.54545454546, 321126400, 88.6796814143544, 15.035176277160645, 98.20751276744487
MARK_SWEEP, 1443
PROFILE, 1495, 677099, 257490, 327569408, 91.45942840932976, 40.62850475311279, 98.00083425447723
PROFILE, 1602, 727810, 478405.6603773585, 352870400, 89.52057720914472, 14.974498748779297, 98.14324519689087
PROFILE, 1701, 782169, 543590, 372490240, 91.97436732776258, 35.28714179992676, 98.22315974221199
PROFILE, 1801, 832740, 505710, 392130560, 93.07135146232012, 44.65374946594238, 98.14668246561442
PROFILE, 1907, 881631, 461235.8490566038, 416677888, 90.89262733125089, 15.038466453552246, 98.1334007734853
PROFILE, 2007.0000000000002, 928955, 473240, 436314112, 91.29157637427157, 15.037918090820312, 98.20432710250478
PROFILE, 2107, 986013, 570580, 455950336, 93.7983396345269, 43.120694160461426, 98.26845993267659
PROFILE, 2208, 1046209, 601960, 480497664, 94.23535423282173, 46.11945152282715, 98.25015261328959
PROFILE, 2322, 1094592, 424412.2807017544, 505044992, 92.28983677420301, 15.038466453552246, 98.23382370317687
PROFILE, 2422, 1152277, 576850, 524685312, 94.44184953470824, 44.930195808410645, 98.17839655194823
PROFILE, 2530, 1201072, 451805.55555555556, 549220352, 92.81524708386482, 15.037345886230469, 98.27071770327532
