total_iterations, iterations_per_second, memory_usage
73651, 73650, 104280064
143042, 69391, 122630144
219000, 75958, 149291008
294624, 75624, 176779264
370805, 76181, 200925184
447016, 76211, 229748736
513085, 66069, 241672192
589091, 76006, 256073728
665621, 76530, 280272896
741163, 75542, 304308224
817585, 76422, 328491008
892554, 74969, 362938368
969439, 76885, 387215360
1045065, 75626, 411262976
1119796, 74731, 435146752
1195236, 75289.42115768463, 459165696
1271350, 76037.96203796205, 483295232
1345000, 73650, 522055680
1416392, 71392, 544768000
1487608, 71216, 567447552
1546678, 59070, 550793216
1620946, 74268, 550793216
1696010, 75064, 550793216
1769879, 73869, 567619584
1843619, 73740, 591335424
1918065, 74446, 614576128
1988573, 70508, 660615168
2061345, 72772, 683556864
2134457, 73112, 706560000
2207459, 73002, 730148864
2280419, 72960, 753127424
2353740, 73321, 776163328
2427033, 73293, 799821824
2500226, 73193, 822833152
2573812, 73586, 845914112
2647300, 73488, 869588992
2719713, 72413, 892473344
2793884, 74171, 915652608
2869194, 75310, 939646976
2941167, 71973, 997687296
3016750, 75583, 1021730816
3092156, 75406, 1045741568
3167330, 75174, 1069715456
3217622, 50292, 1022513152
3295077, 77455, 1022513152
3373123, 78046, 1022513152
3449571, 76448, 1022513152
3526062, 76491, 1022513152
3602418, 76356, 1022513152
3678926, 76508, 1022513152
3754718, 75792, 1034129408
3829507, 74789, 1057415168
3902647, 73066.93306693308, 1081028608
3975435, 72788, 1103974400
4046842, 71407, 1126690816
4120173, 73331, 1149726720
4185961, 65788, 1170857984
4254138, 68177, 1192402944
4308589, 54018.84920634921, 1209733120
4373077, 64488, 1230020608
4433773, 60696, 1301893120
4500758, 66985, 1323220992
4541107, 40349, 1288278016
4615854, 74747, 1288630272
4690883, 75029, 1288630272
4766815, 75932, 1288630272
4842270, 75455, 1288630272
4917990, 75720, 1288630272
4992514, 74524, 1288630272
5067618, 75104, 1288630272
5143023, 75405, 1288630272
5217467, 74444, 1288630272
5292435, 74968, 1288630272
5366332, 73897, 1288630272
5441973, 75641, 1292046336
5515063, 73090, 1315651584
5584800, 69737, 1337458688
5645408, 60608, 1357090816
5708520, 63112, 1376522240
5771946, 63426, 1396625408
5838566, 66620, 1417912320
5904157, 65591, 1439006720
5975676, 71519, 1461739520
6017861, 38737.37373737374, 1461858304
6091415, 73554, 1461858304
6164596, 73181, 1461858304
6237681, 73085, 1461858304
6308277, 70596, 1461858304
6381475, 72979.06281156531, 1461858304
6455218, 73743, 1461858304
6529369, 74151, 1461858304
6601791, 72422, 1461858304
6641772, 39981, 1459961856
6715725, 73953, 1459961856
6788909, 73184, 1459961856
6858760, 69851, 1459961856
6931439, 72679, 1459961856
6988055, 56616, 1459961856
7055668, 67613, 1459961856
7127328, 71660, 1459961856
7198350, 71022, 1460121600
7269754, 71404, 1460121600
7339070, 69316, 1460121600
7410096, 71026, 1460121600
7480529, 70433, 1461518336
7551020, 70491, 1484062720
